Fide id,Name,Year_of_birth,Gender,Federation,Title,Standard_Rating,Rapid_rating,Blitz_rating
5001900,Soman  Satchidanand,1974,M,IND,FM,2231,0,2198
5006210,Joshi  Pankaj,1977,M,IND,FM,2231,0,0
5027373,Gahan M G,1994,M,IND,FM,2229,2259,2275
5001579,Venkataramanan  T.S.,1973,M,IND,FM,2226,2291,2203
5038758,Patil  Pratik,1995,M,IND,CM,2226,2207,2230
5091241,Varshini  V,1998,F,IND,WGM,2226,1910,2061
5009537,D. Ravishankar,1980,M,IND,CM,2221,0,0
5055903,Srija  Seshadri,1997,F,IND,WGM,2219,2087,1995
25058746,Dhanush Bharadwaj,2004,M,IND,FM,2219,2207,2291
5001056,Saritha  M. Reddy,1972,F,IND,WIM,2218,0,0
5082986,Priyanka  K,2001,F,IND,WIM,2218,1810,1893
5000882,Khadilkar  Rohini,1963,F,IND,WIM,2215,0,0
5012554,Nikhilesh  Kumar K.,1988,M,IND,FM,2209,0,0
5004977,Murali Krishnan B T,1974,M,IND,IM,2208,2274,2233
5048842,Arjun K,1993,M,IND,CM,2208,2040,2182
5092523,Rajarishi Karthi,1998,M,IND,CM,2207,2064,2196
5056403,Arpita  Mukherjee,2001,F,IND,WIM,2206,1837,1934
25013971,Salonika  Saina,2003,F,IND,WFM,2206,1585,1897
5005353,Visweswaran  K.,1974,M,IND,FM,2202,0,0
5009936,Monnisha G K,1998,F,IND,WIM,2202,1965,2076
45010994,Jijo Joy,2005,M,IND,CM,2202,1763,1772
5003253,D'Souza  J.,1962,M,IND,CM,2201,0,0
5002532,Suvrajit  Saha,1976,M,IND,IM,2198,2217,2304
5008115,Mishra  Soumyaranjan,1984,M,IND,FM,2197,0,0
5009871,Prathiba  Yuvarajan,1983,F,IND,WIM,2196,0,0
5004330,Mohota  Nisha,1980,F,IND,IM,2195,2260,2117
5000165,Tilak  Sharad S,1962,M,IND,IM,2191,2216,2272
5000564,Deshmukh  Anup,1967,M,IND,IM,2190,2271,2087
25073230,Rakshitta Ravi,2005,F,IND,WIM,2190,1800,1873
5006449,Srinivasa Rao  M.,1975,M,IND,FM,2189,0,2113
25008986,Harshini A,2001,F,IND,WFM,2189,1775,1754
5000068,Babu  N Sudhakar,1965,M,IND,IM,2188,2261,2264
5013550,Priya P.,1987,F,IND,WIM,2186,0,2147
5000645,Gupta R S,1955,M,IND,FM,2185,0,0
5006520,Shashikant  Kutwal,1979,M,IND,IM,2182,2291,2321
5001277,Ramnathan  Balasubramaniam,1971,M,IND,IM,2180,2033,2213
25043250,Harshita Guddanti,2001,F,IND,WIM,2180,1949,1883
5005736,Michelle Catherina  P,1996,F,IND,WIM,2176,2013,2049
5024552,Chandika Divyasree,1993,F,IND,WFM,2172,0,0
5003547,Shah  Pallavi G.,1979,F,IND,WIM,2171,0,0
5004381,Meenakshi Subbaraman,1981,F,IND,WGM,2171,2051,2161
5019575,Kiran  Manisha Mohanty,1989,F,IND,WGM,2168,2174,2143
35002899,Chitlange Sakshi,2000,F,IND,WIM,2167,1726,1787
5054290,Tejaswini  Sagar,2000,F,IND,WIM,2166,1959,1834
5082749,Tarini Goyal,2001,F,IND,WFM,2164,1691,1772
5001315,Gokhale  Chandrashekhar,1974,M,IND,IM,2162,2171,2168
5017173,Raghavi  N.,1989,F,IND,WIM,2162,2092,2075
5007372,Praveen Kumar C,1985,M,IND,IM,2158,2198,2236
5009790,Ravi  Kumar,1974,M,IND,CM,2156,0,0
5013232,Maheswaran  P.,1986,M,IND,FM,2156,2279,2286
5012791,Purushothaman  Thirumalai,1988,M,IND,FM,2150,1986,1965
5000203,Khan  Mohamed Rafiq,1946,M,IND,FM,2148,0,0
5085527,Sapale Saloni,1999,F,IND,WIM,2147,1660,1697
5000246,Vaidya  Arun B,1949,M,IND,IM,2145,0,0
5003474,Swati Ghate,1980,F,IND,WGM,2145,2178,2128
5012716,Nadig  Kruttika,1988,F,IND,WGM,2142,2225,0
5048400,Ivana Maria  Furtado,1999,F,IND,WIM,2139,2075,1974
5048257,Harshal  Shahi,1999,M,IND,FM,2136,2074,2054
5000513,Shetty Rahul,1968,M,IND,IM,2135,2152,2092
5044200,Kavitha J E,1984,F,IND,WFM,2134,0,0
45015481,Tanmay Jain,2007,M,IND,CM,2132,1655,2008
5007780,Singh  D.P.,1976,M,IND,IM,2127,2255,2239
25033760,Ram Aravind L N,2003,M,IND,FM,2127,1892,1993
5000912,Rengarajan  Srinivasan,1960,M,IND,FM,2126,0,0
5001684,Kunte  Mrunalini,1973,F,IND,WIM,2124,0,0
5007470,Arvind  C.J.,1981,M,IND,FM,2124,0,2174
5001021,Unni  Vasanti,1961,F,IND,WIM,2120,0,0
5001030,Khadilkar  Jayshree,1962,F,IND,WIM,2120,0,0
5000114,Koshy  Varugeese,1958,M,IND,IM,2117,2150,2115
5003482,Safira  Shahnaz,1977,F,IND,WFM,2117,0,0
5006171,Ramu  K.,1978,M,IND,FM,2117,2091,0
5012368,Saheli  Nath,1989,F,IND,WFM,2116,0,0
